proposal_id	surface_forms	corpus_frequency	intended_ontology	recommendation	preferred_label	definition	definition_sources	direct_parent_ids	part_of_ids	other_axioms	evidence_status	current_ontology_status	counterexample_or_caveat	curator_decision	curator_notes
MAP-CAND:whole_plant_words	plant|plants	155	PO	revise_existing	whole plant	A plant structure that is a whole organism.		PO:0000003		Add plant as an exact English synonym and plants as its exact plural synonym on PO:0000003, then require focal-taxon or bearer binding during extraction.	pinned_ontology_definition_and_corpus_context_checked	PO:0000003 is the defined whole-organism class but lacks the ordinary English singular and plural words plant and plants.	The Saudi text also uses plant in taxonomic, comparative, and discourse statements; a lexical match identifies an entity mention but does not itself assert a phenotype.		
MAP-CAND:clusters	clusters	46	PATO	map_existing	aggregated			PATO:0001629		Normalize constructions such as flowers in clusters or clustered flowers to PATO:0001629 only after binding the repeated bearer; preserve an anatomical collective entity when the text names one instead.	pinned_ontology_definition_and_corpus_context_checked	PATO:0001629 is defined as an irregular spatial pattern and has clustered as an exact synonym.	A cluster noun can denote an entity or inflorescence rather than a spatial quality, and among clusters of bracts does not license attaching aggregated to every nearby bearer.		
MAP-CAND:plant_organ_margin	margin|margins	45	PO	map_existing	plant organ margin			PO:0025005		Use PO:0025005 only when context identifies a laminar plant organ, and prefer an existing bearer-specific descendant such as leaf lamina margin when the bearer is known.	pinned_ontology_definition_and_corpus_context_checked	PO:0025005 is a defined cardinal organ part, part of a plant organ lamina; the missing normalization is mainly bearer resolution and ordinary-word synonymy.	Margin may denote a leaf, petal, lobe, geographical edge, or page boundary, so the unqualified token is not a context-free exact mapping.		
PO-CAND:plant_structure_apex	apex|apices	34	PO	accept_proposal	plant structure apex	A plant structure that is the distal portion of another plant structure.	EVID:NYBG_APEX	PO:0009011	PO:0009011	Use as a generic parent for compatible existing organ, axis, and trichome apex classes; add apices as the exact plural and retain PO's distinction between an extended apex region and its apical-most tip.	definition_and_generic_parthood_supported	PO contains many bearer-specific apex classes but no generic plant structure apex that can normalize an unqualified, context-bound apex mention.	Distal depends on the bearer's axis, and the NYBG glossary uses tip more broadly than PO; do not make all existing tip classes exact synonyms of apex.		
PO-CAND:plant_structure_base	base	83	PO	accept_proposal	plant structure base	A plant structure that is the proximal portion of another plant structure.	EVID:NYBG_BASE	PO:0009011	PO:0009011	Use as a generic parent for compatible existing base classes while retaining bearer-specific subclasses such as leaf base and stem base.	definition_and_generic_parthood_supported	PO contains multiple bearer-specific base classes but no generic plant structure base for a context-bound unqualified mention.	Proximal orientation must be established from the bearer; base can also denote a support, attachment site, chemical base, locality, or numerical radix outside this botanical construction.		
PO-CAND:plant_organ_lamina_lobe	lobe|lobes	61	PO	revise_proposal	plant organ lamina lobe	A cardinal organ part that is a projection arising from the margin or base of a plant organ lamina.	EVID:NYBG_LOBE|EVID:NYBG_LEAF_MARGIN_LOBED	PO:0025001	PO:0025513	Introduce only after reconciling the generic boundary, then place PO:0025514 phyllome lamina lobe beneath it and resolve corolla- and petal-lobe mentions through their actual bearer.	concept_supported_boundary_requires_po_decision	PO has phyllome and leaf lamina lobe classes but no generic lamina-lobe parent; PO:0025514 uses a one-quarter-or-more sinus threshold.	NYBG specifies rounded projections and elsewhere a less-than-half cut for lobed leaf margins, while PO allows rounded or angular lobes and uses a different depth threshold; the generic definition must not silently erase that disagreement.		
PO-CAND:plant_hair_synonym	hair|hairs	52	PO	revise_existing	trichome	A hair-like outgrowth of the plant epidermis.	EVID:NYBG_HAIR|EVID:NYBG_TRICHOME|EVID:AOS_HAIR_TRICHOME	PO:0009011	PO:0005679	Do not mint a hair subclass without a distinguishing characteristic. Review changing botanical hair from a NARROW synonym of PO:0000282 to an exact or related synonym, and add the plural with OMO:0003004.	definition_and_synonym_usage_verified	PO:0000282 already defines trichome and carries hair as a NARROW synonym, but the botanical glossaries redirect hair to trichome rather than defining a narrower anatomical kind.	Both singular Saudi occurrences are the place name Hair, whereas plural hairs is anatomical; extraction must retain case and bearer context even if PO revises the synonym scope.		
PO-CAND:trunk	trunk	7	PO	accept_proposal	trunk	A stem that is the main stem of a tree.	EVID:NYBG_TRUNK_UNBRANCHED|EVID:NYBG_TRUNK_MAIN_STEM	PO:0009047	PO:0000003	Promote the current NARROW synonym on stem to an exact synonym of this subclass; keep bole as a candidate synonym subject to the narrower unbranched-portion convention.	definition_and_parent_supported	PO:0009047 has trunk only as a NARROW synonym and no defined trunk subclass.	One source equates trunk with an unbranched bole, while another includes buttresses and prop roots; the proposed class conservatively includes only the main stem and does not misclassify roots as stem parts.		
PO-CAND:frond	frond|fronds	12	PO	accept_proposal	frond	A vascular leaf of a fern, cycad, or palm, including its lamina and stipe or petiole when present.	EVID:NYBG_FROND_FERN|EVID:USF_FLIP_FROND|EVID:FLORA_AUSTRALIA_FROND|EVID:PLANTNET_FH	PO:0009025		Promote the current NARROW synonym on vascular leaf to the exact label of this subclass; do not assert a universal whole-plant, stipe, or petiole restriction because a frond may be detached and a stipe or petiole may be absent or reduced.	definition_taxonomic_scope_and_corpus_sense_verified	PO:0009025 carries frond as a NARROW synonym but lacks a defined subclass; 11 of 12 Saudi mentions describe palm leaves.	Some botanists restrict frond to ferns, while broader authoritative glossaries include palms and cycads; the lone Saudi singular occurrence is frond-like and must remain a resemblance rather than an entity assertion.		
PO-CAND:pinna	pinna|pinnae	1	PO	accept_proposal	pinna	A cardinal organ part that is a primary division of a pinnately compound leaf.	EVID:NYBG_PINNA	PO:0025001	PO:0020043	Promote the current NARROW synonym on leaflet to this class, with pinnae as the exact plural; do not assert pinna SubClassOf leaflet because a primary pinna need not be an ultimate segment in a multiply divided leaf.	definition_parent_and_parthood_supported	PO:0020049 leaflet carries pinna and pinnae as NARROW synonyms even though leaflet is defined as an ultimate compound-leaf segment.	In a once-pinnate leaf a pinna can also satisfy leaflet, but that overlap does not hold for a bipinnate or more-divided leaf.		
PO-CAND:pinnule	pinnule|pinnules	0	PO	accept_proposal	pinnule	A cardinal organ part that is a secondary or higher-order division of a pinnately compound leaf.	EVID:NYBG_PINNULE	PO:0025001	PO-CAND:pinna|PO:0020043	Promote the current NARROW synonym on leaflet to this class; retain the transitive part-of relation to the compound leaf and add an exact plural synonym.	definition_parent_and_parthood_supported	PO:0020049 carries pinnule as a NARROW synonym but an intermediate pinnule is not necessarily the ultimate segment required by the leaflet definition.	Higher-order terminology varies among fern treatments, and the source's worked-example sentence is corrupt; only the clear secondary-or-higher division is used.		
PO-CAND:cyathium	cyathium|cyathia	4	PO	accept_proposal	cyathium	An inflorescence consisting of several naked staminate flowers, usually one naked pistillate flower, and a subtending cup-shaped involucre.	EVID:NYBG_CYATHIUM	PO:0009049		Remove cyathium and cyathia as NARROW synonyms of PO:0030126 cyme inflorescence; add them as exact singular and plural labels here; assert has_part some PO:0025600 and has_part some PO:0009100, but not a universal pistillate-flower or whole-plant parthood restriction.	definition_parent_and_universal_parts_supported	PO currently puts cyathium under cyme only as a NARROW synonym, but the cyme definition requires paired determinate higher-order axes and pedicellate flowers and does not define a cyathium.	The pistillate flower is only usual, not universal; sexed-flower and involucre axioms should use existing PO classes without treating every nearby bract as part of the cyathium.		
MAP-CAND:sticky_viscid	sticky	14	PATO	sense_split	sticky botanical material or coating			PATO:0001370|PATO:0002331		Use PATO:0001370 viscid when a bearer has a sticky liquid coating and PATO:0002331 adhesive when the bearer itself, such as gum, exhibits contact adhesion; do not add one unrestricted exact synonym to both.	definition_and_corpus_senses_verified	PATO:0001370 is a coating quality that is sticky or clammy, while PATO:0002331 is the value of molecular adhesivity; NYBG equates viscid with sticky and UPOV distinguishes it from resinous.	Sticky gum, stems, foliage, and whole herbs occur. The surface word alone does not determine whether a coating or the material itself realizes the adhesion, nor whether glands or resin cause it.		
MAP-CAND:arching_arched	arching	22	PATO	map_existing	arched			PATO:0001594		Add arching as an exact morphological variant of PATO:0001594 when the bearer forms or resembles an arch.	pinned_definition_and_full_corpus_concordance_checked	PATO:0001594 already defines arched as forming or resembling an arch; the Saudi mentions describe arching stems and branches.	Do not use arched for any merely curved stem: the recognizable arch form is the differentia, and growth direction remains a separate quality when asserted.		
MAP-CAND:botanical_sessile	sessile	2	PATO	map_existing	sessile (sensu botany)			PATO:0001436		Add sessile as an exact synonym of the botanical sense and retain the distinct zoological homonym.	definition_and_homonym_verified	PATO:0001436 is defined as attachment without a stalk; both UPOV and the Saudi flower examples use that sense.	The current PATO wording begins with a flower bearer but mentions leaves; curators may wish to make the genus definition bearer-independent before adding the plain synonym.		
MAP-CAND:scented_odorous	scented	12	PATO	map_existing	odorous			PATO:0001331		Add scented as an exact synonym of PATO:0001331 for unmodified odor-presence assertions; model sweetly, faintly, or strongly scented compositionally.	pinned_definition_and_corpus_context_checked	PATO:0001331 denotes having odor, whereas PATO:0002191 aromatic is an unrelated molecular aromaticity class.	Scented does not say whether the odor is pleasant, strong, or chemically aromatic; those modifiers require distinct evidence and must not be inferred.		
MAP-CAND:ripe_mature	ripe	22	PATO	sense_split	mature			PATO:0001701		Use a non-exact mapping to mature for fruit contexts unless PATO accepts a narrower ripe subclass; retain PO developmental-stage mappings where the text supports a specific stage.	pinned_maturity_branch_and_corpus_context_checked	PATO:0001701 denotes complete growth, differentiation, or development; PO contains several fruit-ripening stages but no generic exact entity target for ripe.	Ripe is fruit- and use-context sensitive and is narrower than mature; green ripe fruit, edible ripeness, seed-dispersal maturity, and dry grain stages need not coincide.		
PATO-CAND:reflexed	reflexed	23	PATO	accept_proposal	reflexed	A shape and orientation quality inhering in a bearer by virtue of the bearer being abruptly bent backward or abaxially downward.	EVID:UPOV_TGP14|EVID:NYBG_REFLEXED	PATO:0000617		Keep distinct from PATO:0002211 recurved, which is smoothly curved backward or inward; record deflexed as an exact synonym only if PATO curators accept UPOV usage.	definition_boundary_and_corpus_sense_verified	No reflexed class or synonym occurs in pinned PATO; bent and recurved are present but neither captures the abrupt directional differentia.	UPOV also uses reflexed for an angle greater than 180 degrees; the proposed wording covers the shared abrupt-backward form without asserting a numeric angle for every bearer.		
PATO-CAND:winged	winged|alate	13	PATO	accept_proposal	winged	A shape quality inhering in a bearer by virtue of the bearer having one or more conspicuous, thin, flattened extensions that project from its main body.	EVID:NYBG_WINGED|EVID:AOS_ORCHID_GLOSSARY	PATO:0000052		Add alate as an exact synonym; do not place the class under ridged because botanical wings include both ridge-like and broader laminar extensions, and keep anatomical wing entities such as wing petals separate from this bearer-independent quality.	definition_and_broad_bearer_range_verified	PATO has ridged but no winged/alate shape; PO has bearer-specific structures such as a petiole lamina and wing petal.	Context must distinguish a winged bearer from an anatomical structure named a wing; the broad physical definition deliberately covers both narrow ridge-like and broader laminar botanical wings.		
PATO-CAND:ascending	ascending	21	PATO	accept_proposal	ascending	An orientation quality inhering in a bearer by virtue of the bearer being directed gradually upward at an oblique angle.	EVID:UPOV_TGP14	PATO:0000133		Place under orientation, and compare with the established erect, decumbent, procumbent, and prostrate vocabulary without asserting a total ordering among those classes.	definition_parent_and_corpus_stem_sense_verified	Pinned PATO has erect, prostrate, decumbent, and procumbent but no ascending value; UPOV routes ascending to its gradually-upward definition.	Some sources restrict ascending to an initially horizontal or spreading base; UPOV does not, so that narrower differentia is not asserted universally.		
PATO-CAND:spreading	spreading	37	PATO	accept_proposal	spreading	An orientation quality inhering in a bearer by virtue of the bearer being directed outward and diverging from a principal axis.	EVID:UPOV_TGP14	PATO:0000133		Compare PATO:0005005 radiating, whose definition requires expansion from a center point; spreading need not be radial or prostrate. Model a whole-plant spreading growth form in FLOPO through the outward orientation of its branches or shoots rather than asserting this atomic orientation directly on the whole plant.	definition_parent_and_organ_orientation_sense_verified	Pinned PATO has no spreading value; UPOV explicitly applies spreading both to divergent branches and to whole-plant growth habit.	The same word denotes an organ orientation and a whole-plant architecture; only the former is the atomic PATO quality, while FLOPO must compose the latter over the relevant parts.		
PATO-CAND:lanate	woolly|lanate	11	PATO	accept_proposal	lanate	A pilosity quality inhering in a bearer by virtue of the bearer being covered with long, somewhat matted and tangled trichomes that give a wool-like appearance.	EVID:UPOV_TGP14|EVID:NYBG_LANATE	PATO:0000454		Add woolly only as a related synonym and distinguish PATO:0002341 tomentose, whose hairs are shorter, denser, and more matted.	definition_and_indumentum_boundary_verified	Pinned PATO contains hairy, pubescent hair, arachnose, and tomentose but no lanate or woolly class.	Woolly can also describe a non-hair material by resemblance; accept the mapping only when plant hairs, trichomes, or pubescence are the bearer-realizing structures.		
PATO-CAND:sericeous	silky|sericeous	3	PATO	accept_proposal	sericeous	A pilosity quality inhering in a bearer by virtue of the bearer being covered with long, soft, slender, appressed trichomes that give a silk-like appearance.	EVID:UPOV_TGP14|EVID:NYBG_SERICEOUS	PATO:0000454		Add silky only as a related synonym because it also denotes non-trichome texture and gloss.	definition_and_indumentum_boundary_verified	Pinned PATO has no sericeous or botanical silky pilosity class.	Silky may describe texture, gloss, or a non-trichome surface outside botanical indumentum; context must establish the hair-covering sense.		
PATO-CAND:entire_margin	entire	13	PATO	revise_and_sense_split	entire margin	A plant-organ margin shape quality inhering in a bearer by virtue of the margin being undivided and lacking teeth or lobes.	EVID:UPOV_TGP14|EVID:NYBG_LEAF_MARGIN_ENTIRE	PATO:0000052		Use only for a plant-organ margin; the unrestricted adjective entire remains ordinary-language quantification and is not a synonym of this class in every context.	definition_supported_surface_polysemy_verified	Pinned PATO has dentate, serrate, and crenate terms but no entire-margin counterpart.	Several Saudi occurrences mean the whole or complete plant rather than an untoothed margin; an exact lexical mapping without bearer/context gating would be wrong.		
FLOPO-CAND:trifoliolate_leaf	trifoliolate	24	FLOPO	revise_existing	trifoliolate leaf phenotype	A leaf phenotype in which the bearer is a compound leaf with exactly three leaflets.	EVID:NYBG_TRIFOLIOLATE|EVID:PLANTNET_TU	FLOPO:0000004		Revise FLOPO:0900067 in place: remove its leaf-shape parent, place it under leaf phenotype and the proposed composition/cardinality facet, assert has_part exactly 3 PO:0020049, and associate it with a FLOPO-local trifoliolate quality under PATO:0001555. Add trifoliate only as a related synonym if curators confirm that usage.	definition_parent_and_exact_cardinality_supported_existing_class_needs_repair	FLOPO:0900067 leaf trifoliolate already exists but is asserted under FLOPO:0000149 leaf shape and has neither a definition nor a logical characterization. PO supplies compound leaf and leaflet; the phenotype and its supporting quality belong in FLOPO rather than multiplying PO leaf entities.	The exact cardinality concerns ultimate leaflets: a leaf with three primary pinnae that are themselves divided need not have exactly three ultimate leaflets. Correcting the parent and definition preserves the intended referent, so this is an in-place repair rather than obsoletion.		
PATO-CAND:annual_life_span	annual|annuals	13	PATO	accept_proposal	annual life span	A life span quality inhering in a bearer by virtue of the bearer's expected natural life span being no more than one year.	EVID:NYBG_ANNUAL|EVID:RHS_FOLIAGE	PATO:0000050		Use annual as an exact synonym in botanical life-history context; represent the one-year boundary explicitly rather than as merely decreased life span.	definition_and_numeric_boundary_supported	Pinned PATO has the life span attribute but no annual, biennial, or perennial values.	The definition concerns expected natural life span, not the bearer's current age; plural annuals denotes plants bearing this quality and must be composed with the whole-plant entity during extraction.		
PATO-CAND:perennial_life_span	perennial	15	PATO	accept_proposal	perennial life span	A life span quality inhering in a bearer by virtue of the bearer's expected natural life span being at least three years.	EVID:NYBG_PERENNIAL|EVID:RHS_FOLIAGE	PATO:0000050		Represent the three-year lower boundary explicitly and contrast annual and biennial life histories.	definition_and_numeric_boundary_supported	Pinned PATO has the life span attribute but no perennial value.	The definition concerns expected natural life span, not current age or successful seed production; the latter is not universal for sterile or vegetatively reproducing perennial plants.		
FLOPO-CAND:caespitose_growth	tufted|caespitose|cespitose	35	FLOPO	new_compositional_phenotype	whole plant caespitose phenotype	A whole-plant growth phenotype in which shoots arise in dense clumps or tufts from a compact base.	EVID:NYBG_CAESPITOSE	FLOPO:0900032		Model the whole plant as having multiple spatially aggregated shoot axes; do not map hair tufts or a noun tuft to this growth-form class.	definition_and_dominant_corpus_sense_verified	No atomic caespitose quality exists in pinned PATO and no equivalent whole-plant class exists in released FLOPO.	Tufted is polysemous: it can describe trichomes, appendage clusters, or plants growing in tussocks; the Saudi adjective predominantly denotes the whole-plant habit, while noun tufts need separate bearer analysis.		
FLOPO-PATTERN:solitary_cardinality	solitary|single|singly	52	FLOPO	modeling_pattern	solitary botanical structure phenotype	A contextual phenotype pattern in which exactly one instance of a specified botanical structure occurs at the relevant bearer or site rather than in a cluster.	EVID:NYBG_SOLITARY_FLOWER			Bind the counted PO entity and bearer, then represent exact cardinality one; do not coin a PATO value or a FLOPO class for every bearer-cardinality combination.	definition_and_polysemy_verified	PO defines inflorescence as having two or more flowers, so the glossary's solitary-flower wording cannot be promoted as an inflorescence subclass under current PO semantics.	Single also modifies locality, stem, specimen, and discourse expressions; only bearer-bound botanical cardinality constructions instantiate this pattern.		
FLOPO-PATTERN:veined_colour	veined|nerved	25	FLOPO	contextual_composition	contrastingly veined botanical phenotype	A phenotype in which veins of a plant structure are visibly distinguished from surrounding tissue by a stated colour or contrast.				Bind the bearer and its PO vein or vascular structure, and attach the explicitly stated colour to that structure; preserve generic prominent venation separately when no colour is stated.	full_corpus_concordance_and_compositional_structure_checked	The Saudi uses include red-veined sepals, silvery-veined leaves, coloured petals, palmately veined leaves, and prominent uncoloured venation; no single atomic PATO quality captures all senses.	Do not infer a colour when only venation topology is asserted, and do not attach the nearby colour to the whole leaf or flower when it specifically modifies the veins.		
FLOPO-PATTERN:sweet_scent	sweet	108	FLOPO	contextual_composition	sweet-scent description	A botanical odor description in which a scent is characterized as sweet by resemblance to familiar sweet-smelling prototypes rather than by a sugar taste assertion.				Map the scent-presence component to PATO:0001331 odorous, retain sweet as an unresolved odor-character modifier, and preserve independent faint/strong intensity modifiers.	full_corpus_concordance_checked	The Saudi occurrences overwhelmingly occur in sweet scent or sweetly scented constructions; pinned PATO has odorous but no supported sweet-odor value.	Do not map to a sweet taste or generic flavor class, and do not infer pleasantness: several descriptions combine sweetish character with a bad or rotting smell.		
FLOPO-PATTERN:milky_exudate	milky	24	FLOPO	contextual_composition	milky plant exudate phenotype	A phenotype in which a plant liquid or exudate has an opaque, pale appearance resembling milk.				Compose the context-bound plant substance with PATO:0000963 opaque and an explicitly supported white or pale colour; leave a possible latex entity unresolved rather than inferring chemical identity from appearance.	full_corpus_concordance_checked	Nearly all Saudi uses modify juice or sap; PO:0025161 covers portions of plant substance and explicitly mentions latex in its comment but PO has no generic latex class.	Milky can denote appearance without establishing that the substance is latex, contains milk-like compounds, or has a particular viscosity; those claims need independent evidence.		
FLOPO-PATTERN:botanical_armature	prickly|thorny|armed	34	FLOPO	contextual_composition	botanical armature phenotype	A phenotype in which a plant or plant structure bears pointed defensive projections such as prickles, thorns, or spines.	EVID:UPOV_TGP14			Use PATO:0001365 spiny as the broad surface-feature quality; when morphology is known, retain PO:0025169 prickle, PO:0025172 thorn, or the applicable spine entity rather than collapsing them.	definitions_existing_ids_and_corpus_senses_checked	PATO:0001365 explicitly includes spines, thorns, and similar projections; PO distinguishes a superficial epidermal prickle from a branch-derived thorn.	Prickly and thorny are narrower than PATO spiny and flora prose may use them loosely; exact PO organ identity cannot be inferred from the adjective alone.		
SURFACE-CAND:low_context	low	67	PATO	sense_split	contextual low			PATO:0000569|PATO:0000587		Use PATO:0000569 only for relative height and PATO:0000587 only for relative overall size; route numeric low-height constructions through the measurement parser and reject habitat/locality uses.	full_corpus_concordance_checked	Pinned PATO already contains decreased height and decreased size; most Saudi occurrences describe low hills, valleys, or elevations, while a minority describe low-growing plants.	Low is a relational or scalar comparison whose attribute and reference population must come from context; it is not an unrestricted exact synonym of either target.		
FLOPO-PATTERN:phenology_timing	flowering|fruiting|summer|winter	102	FLOPO	modeling_pattern	plant phenology timing phenotype	A contextual phenotype that relates a plant developmental process or stage to an explicitly stated season or time interval.	EVID:RHS_FOLIAGE			Bind flowering or fruiting to the applicable PO plant structure development stage and model summer or winter as temporal context; do not mint atomic qualities for the isolated words.	full_corpus_concordance_checked	The corpus uses night-, summer-, and winter-flowering and fruiting expressions; PO supplies development stages, while the season is contextual information rather than a plant quality.	The same season word can describe collection time or habitat climate, and flowering can be a process mention rather than a phenotype value.		
NOISE:taxonomic_editorial_language	species|new|form|forms|distinctive|same|type|true|varying	150	NONE	reject_as_noise						Reject taxonomic rank, editorial comparison, and discourse uses; re-run phrase-level extraction before rejection so constructions such as new shoots or new growth retain their actual developmental meaning.	full_corpus_concordance_checked	These isolated spans predominantly arise from taxonomic or descriptive prose rather than phenotype values.	This is a context-specific rejection, not a global stop list: form can denote morphology and new can modify a genuine plant structure or developmental stage.		
FLOPO-PATTERN:relative_plant_position	basal|apical|lower|upper|outer|inner|central|mid|median|axillary	98	FLOPO	modeling_pattern	contextual plant-structure position phenotype	A phenotype in which a specified plant structure occupies a relative position along, within, or around an explicitly identified bearer or axis.	EVID:NYBG_APEX			Bind the located PO entity, reference bearer, and axis before selecting PATO:0002349 basal to, PATO:0001195 proximal to, PATO:0001234 distal to, an axil relation, or another directionally correct relation; do not equate basal with proximal or apical with distal without that frame.	corpus_concordance_and_existing_relations_checked	PATO has relational position vocabulary, and PO has axil and axillary-structure classes, but each adjective omits the reference entity and coordinate frame needed for a complete assertion.	Lower and upper may express vertical position, serial rank, surface, or comparison; outer and inner likewise require a container or radial frame, while axillary requires the relevant axil.		
FLOPO-PATTERN:indefinite_cardinality	few|several|numerous|none	53	FLOPO	modeling_pattern	contextual botanical cardinality phenotype	A phenotype that constrains the number of instances of a specified plant structure at an explicitly identified bearer or site.				Represent the counted PO entity and bearer, retaining few, several, or numerous as source-language cardinality bands until a glossary or dataset supplies numeric boundaries; model none as qualified absence rather than the number zero detached from a bearer.	full_corpus_concordance_checked	PATO:0001997 decreased amount and PATO:0000470 increased amount are comparative qualities but do not define the botanical count ranges expressed here.	The words have no universal numeric boundary and do not identify what is being counted; mapping few directly to decreased amount would silently add a comparison class.		
FLOPO-CAND:shrubby_growth	shrubby	37	FLOPO	revise_and_sense_split	whole plant shrubby growth phenotype	A whole-plant growth phenotype in which the bearer is woody, perennial, and has multiple branches arising at or near its base.	EVID:PLANTNET_S	FLOPO:0900034		Provide an evidence-backed definition for the existing whole plant frutescent/shrub class; map shrubby only when it asserts that growth form, and retain resemblance constructions such as shrubby herb for contextual composition.	definition_supported_corpus_polysemy_verified	FLOPO:0900034 has exact synonyms bush and shrub but no textual definition; Saudi occurrences often modify tree or herb and therefore do not all denote literal membership in the shrub growth form.	A shrubby tree can have a low-branched habit without being a shrub, and a shrubby herb may merely resemble one; an unrestricted exact mapping would overclassify both.		
MAP-CAND:botanical_spots	spot|spots	46	PATO	sense_split	spotted colour pattern			PATO:0000333		Use PATO:0000333 when a bearer has round areas of differing hue or saturation; reject locality constructions such as beauty spot and keep anatomical spots lacking colour evidence separate.	existing_definition_and_corpus_senses_checked	PATO:0000333 already defines the coloured round-marking sense.	Most plural occurrences are genuine colour markings, but singular spot includes locality prose and a spot need not be round or chromatically distinct in every domain.		
MAP-CAND:botanical_blotches	blotch|blotches	15	PATO	map_existing	blotchy			PATO:0000329		Map corpus colour-marking occurrences to PATO:0000329 and add blotch/blotches only as lexical retrieval forms, not exact synonyms of a quality noun.	existing_definition_and_corpus_senses_checked	PATO:0000329 defines irregularly shaped spots or blots of a different hue or saturation and already has blotched as an exact synonym.	A noun names a marking while PATO:0000329 denotes the bearer's pattern; extraction must preserve that bearer shift.		
PATO-CAND:striped_colour_pattern	line|lines|lined|stripes|streaked	20	PATO	revise_and_sense_split	striped	A colour pattern inhering in a bearer by virtue of the bearer having one or more elongated markings that differ in hue, lightness, or saturation from adjacent areas.	EVID:PLANTNET_IL	PATO:0001533		Create the orientation-neutral pattern only after a colour-pattern source is added; make PATO:0001946 banded its transverse-stripe subtype and remove the current unsafe exact synonym striped from banded.	provisional_definition_source_incomplete	PATO:0001946 defines only transverse stripes but treats striped as exact; PlantNET defines lineolate as fine or obscure lines without requiring colour.	Line, lined, and streaked can denote grooves, veins, ranks, margins, or text rather than colour. The proposed definition is not yet evidence-complete and must remain unaccepted.		
MAP-CAND:botanical_patches	patch|patches	7	PATO	sense_split	patchy spatial pattern			PATO:0001608		Use PATO:0001608 for a bearer diversified with patches; reject habitat/population patches and retain coloured-patch entity mentions until bearer and colour are bound.	existing_definition_and_corpus_senses_checked	PATO:0001608 already defines a spatial pattern marked by or consisting of patches.	Patch can name the marked region rather than a quality, and several flora uses concern vegetation or locality patches.		
MAP-CAND:botanical_mottling	mottling	1	PATO	map_existing	mottled			PATO:0002274		Normalize the colour-pattern use to PATO:0002274 while preserving the source noun as the evidence span.	existing_definition_and_corpus_sense_checked	PATO:0002274 defines multicoloured dappling with spots, patches, or blotches.	Do not use for non-colour material heterogeneity unless the different colours are stated or visually entailed.		
PATO-CAND:dissected	dissected	22	PATO	accept_proposal	dissected	A shape quality inhering in a bearer by virtue of the bearer being divided, at least partially, by incisions into visibly distinct segments.	EVID:PLANTNET_DE	PATO:0000052		Compare with PATO:0001979 lobed before fixing asserted parentage; dissected requires segment-forming divisions but the available glossary does not impose one universal incision-depth threshold.	definition_and_corpus_sense_supported	Pinned PATO has lobed and cleft but no dissected class; the Saudi uses describe leaves or leaf-like structures divided into segments.	Some floras reserve dissected for deep divisions and others use it broadly. The proposal deliberately avoids an invented fractional-depth boundary and should not be made equivalent to lobed.		
FLOPO-CAND:foliage	foliage	20	FLOPO	new_local_entity_and_phenotype_branch	foliage phenotype	A flora phenotype affecting the leaves borne by one plant or shoot system at a specified time, considered collectively.	EVID:RHS_FOLIAGE	FLOPO:0000000		Create a FLOPO-local support class foliage directly under PO:0025131 plant anatomical entity, not PO:0025497 collective plant structure, and place a new foliage phenotype branch under the proposed plant-material-aggregate phenotype branch. Require leaf members but do not require spatial adjacency or anatomical connectedness.	lexical_definition_verified_flopo_upper_model_required	PO:0009025 uses foliage leaf for one vascular leaf, whereas the surface foliage denotes a collection. PO:0025497 requires adjacent organs, so the distributed collection and its phenotype branch are intentionally developed inside FLOPO.	Foliage is temporally indexed and may be distributed across a whole plant or shoot. A generic has_part some leaf axiom is necessary but not sufficient, and a membership relation must be selected before an equivalence axiom is released.		
SURFACE-CAND:dwarf_habit	dwarf	17	PATO	sense_split	naturally small plant habit			PATO:0000587|PATO:0000969		Use decreased size only when a reference population is established; do not map naturally small or horticultural dwarf growth forms to PATO:0000969 dwarf-like, whose definition requires abnormal smallness.	full_corpus_concordance_checked	The Saudi occurrences describe naturally small herbs and shrubs; PATO:0000969 is explicitly abnormal and therefore not an exact lexical target.	Dwarf can denote a taxon, cultivar class, naturally low habit, pathological growth reduction, or relative size. Those senses require different assertions.		
FLOPO-PATTERN:plant_parasitism	parasite|parasitic|host|hosts	35	FLOPO	contextual_composition	plant parasitism phenotype	A phenotype in which a plant obtains resources through a parasitic relationship to an explicitly identified host organism.				Bind parasite and host as separate organisms and represent the ecological relation; assert a haustorium part only when the description or taxon evidence establishes one.	full_corpus_concordance_checked	PO contains haustorium but PO and PATO do not supply an atomic quality equivalent to being parasitic; the relation belongs in a contextual phenotype assertion.	Host can occur in habitat or taxonomic prose, and not every resource-parasitic interaction described at species level licenses an observed haustorium for the individual.		
FLOPO-PATTERN:botanical_structural_relations	arising|subtended|covering|bearing|origin	35	FLOPO	modeling_pattern	contextual botanical structural relation	A phenotype assertion that relates one explicitly identified plant structure to another by origin, support, coverage, production, or relative attachment.				Parse the complete predicate and both PO arguments before selecting develops_from, has_part, part_of, adjacent_to, or a more specific relation; do not normalize isolated participles as qualities.	full_corpus_concordance_checked	The corpus spans are fragments of relational constructions such as arising from, subtended by, covered with, and bearing structures.	The verbs are not interchangeable: a bract subtending a flower is not necessarily part of it, and a structure arising near another need not develop from it.		
